# format_version: 1
# kind	id	iri	label	aliases	parents	ontology	role	component_family	sequence_family	table1	table2
term	CHEBI:101086	https://identifiers.org/CHEBI:101086	EC 5.4.99.7 (lanosterol synthase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_101086	CHEBI:101090	CHEBI	feature_role	-	-	false	false
term	CHEBI:101090	https://identifiers.org/CHEBI:101090	EC 5.4.99.* (intramolecular transferase transferring other groups) inhibitor	http://purl.obolibrary.org/obo/CHEBI_101090	CHEBI:76695	CHEBI	feature_role	-	-	false	false
term	CHEBI:102248	https://identifiers.org/CHEBI:102248	EC 1.14.11.29 (hypoxia-inducible factor-proline dioxygenase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_102248	CHEBI:76902	CHEBI	feature_role	-	-	false	false
term	CHEBI:102368	https://identifiers.org/CHEBI:102368	EC 2.6.1.40 [(R)-3-amino-2-methylpropionate--pyruvate transaminase] inhibitor	http://purl.obolibrary.org/obo/CHEBI_102368	CHEBI:76879	CHEBI	feature_role	-	-	false	false
term	CHEBI:110725	https://identifiers.org/CHEBI:110725	EC 2.1.1.8 (histamine N-methyltransferase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_110725	CHEBI:76871	CHEBI	feature_role	-	-	false	false
term	CHEBI:130181	https://identifiers.org/CHEBI:130181	calmodulin antagonist	http://purl.obolibrary.org/obo/CHEBI_130181	CHEBI:48706	CHEBI	feature_role	-	-	false	false
term	CHEBI:131186	https://identifiers.org/CHEBI:131186	IP3 receptor antagonist	http://purl.obolibrary.org/obo/CHEBI_131186	CHEBI:48706	CHEBI	feature_role	-	-	false	false
term	CHEBI:131359	https://identifiers.org/CHEBI:131359	adenosine A2B receptor agonist	http://purl.obolibrary.org/obo/CHEBI_131359	CHEBI:73311	CHEBI	feature_role	-	-	false	false
term	CHEBI:131492	https://identifiers.org/CHEBI:131492	Wnt signalling activator	http://purl.obolibrary.org/obo/CHEBI_131492	CHEBI:195251	CHEBI	feature_role	-	-	false	false
term	CHEBI:131495	https://identifiers.org/CHEBI:131495	formyl peptide receptor agonist	http://purl.obolibrary.org/obo/CHEBI_131495	CHEBI:48705	CHEBI	feature_role	-	-	false	false
term	CHEBI:131509	https://identifiers.org/CHEBI:131509	EC 1.14.99.66 (lysine-specific histone demethylase 1A) inhibitor	http://purl.obolibrary.org/obo/CHEBI_131509	CHEBI:76840	CHEBI	feature_role	-	-	false	false
term	CHEBI:131561	https://identifiers.org/CHEBI:131561	hyaluronic acid synthesis inhibitor	http://purl.obolibrary.org/obo/CHEBI_131561	CHEBI:35222	CHEBI	feature_role	-	-	false	false
term	CHEBI:131604	https://identifiers.org/CHEBI:131604	Mycoplasma genitalium metabolite	http://purl.obolibrary.org/obo/CHEBI_131604	CHEBI:76969	CHEBI	feature_role	-	-	false	false
term	CHEBI:131611	https://identifiers.org/CHEBI:131611	teichoic acid biosynthesis inhibitor	http://purl.obolibrary.org/obo/CHEBI_131611	CHEBI:35222|CHEBI:52206	CHEBI	feature_role	-	-	false	false
term	CHEBI:131699	https://identifiers.org/CHEBI:131699	EC 2.7.7.7 (DNA-directed DNA polymerase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_131699	CHEBI:38234	CHEBI	feature_role	-	-	false	false
term	CHEBI:131734	https://identifiers.org/CHEBI:131734	EC 2.7.11.20 (elongation factor 2 kinase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_131734	CHEBI:76812	CHEBI	feature_role	-	-	false	false
term	CHEBI:131770	https://identifiers.org/CHEBI:131770	EC 3.6.3.49 (channel-conductance-controlling ATPase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_131770	CHEBI:76895	CHEBI	feature_role	-	-	false	false
